pdb_id,uniprot_id,protein_family,enzyme_number
4QFT,Q7L5N1,Belongs to the peptidase M67A family. CSN6 subfamily,
2F8O,P61769,Belongs to the beta-2-microglobulin family,
6B9X,Q6IAA8,Belongs to the LAMTOR1 family,
6B9X,Q9Y2Q5,Belongs to the GAMAD family,
6B9X,Q9UHA4,Belongs to the LAMTOR3 family,
6B9X,Q0VGL1,Belongs to the LAMTOR4 family,
6B9X,O43504,Belongs to the LAMTOR5 family,
5LJG,P09455,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
2JJN,P48635,Belongs to the cytochrome P450 family,1.14.13.154
2AX2,P00918,Belongs to the alpha-carbonic anhydrase family,4.2.1.1
7AOJ,Q8I224,,
6UPB,E1WGG9,Belongs to the trehalose phosphatase family,3.1.3.12
5QZ3,P33334,,
5QZ3,P32357,Belongs to the AAR2 family,
2CPG,P13920,Belongs to the transcriptional regulatory CopG/NikR family,
1ARM,P00730,Belongs to the peptidase M14 family,3.4.17.1
5N6X,Q5GA16,,
2DQ6,P04825,Belongs to the peptidase M1 family,3.4.11.2
1KEX,O14786,Belongs to the neuropilin family,
6BJT,A0A1A5DB13,,
6C39,A0A0H2WY27,Belongs to the peptidase S11 family,
7KPO,Q9KUA1,,2.7.13.3
4IPV,G3XCZ0,Belongs to the GSP H family,
1YUZ,P30820,,
4PXW,Q9Y4B6,Belongs to the VPRBP/DCAF1 family,
2IGI,P0A784,Belongs to the oligoribonuclease family,3.1.15.-
3NEU,Q92AT3,,
4LIZ,C4M4P4,Belongs to the actin-binding proteins ADF family. Coactosin subfamily,
5ROC,P06873,Belongs to the peptidase S8 family,3.4.21.64
1NQP,P69905,Belongs to the globin family,
1NQP,P68871,Belongs to the globin family,
5UOU,A6T925,,4.1.1.97
2IUC,Q9KWY4,Belongs to the alkaline phosphatase family,
3NSO,P33764,Belongs to the S-100 family,
2WWK,O75147,,
2WWK,Q8WZ42,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family,2.7.11.1
1C0B,P61823,Belongs to the pancreatic ribonuclease family,4.6.1.18
1GWI,Q9L142,Belongs to the cytochrome P450 family,
7AM4,P00782,Belongs to the peptidase S8 family,3.4.21.62
5CCJ,P21707,Belongs to the synaptotagmin family,
5M3S,P02185,Belongs to the globin family,
4AEP,Q99IB8,Belongs to the hepacivirus polyprotein family,
4QR8,P21165,Belongs to the peptidase M24B family. Bacterial-type prolidase subfamily,3.4.13.9
5JKK,P02794,Belongs to the ferritin family,1.16.3.1
3ZV4,Q46381,Belongs to the short-chain dehydrogenases/reductases (SDR) family,1.3.1.56
2XC2,Q8T9N5,,
1HC0,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
4I66,D0LJL3,,
4XZ9,Q9HKI3,Belongs to the transaldolase family. Type 3B subfamily,2.2.1.2
2ZPO,P84844,Belongs to the pancreatic ribonuclease family,4.6.1.18
7QUK,Q6PL18,Belongs to the AAA ATPase family,3.6.1.-
1XRU,Q46938,Belongs to the KduI family,5.3.1.17
2D2E,Q5SH92,Belongs to the ABC transporter superfamily. Ycf16 family,
3MWX,P39840,Belongs to the aldose epimerase family,5.1.3.3
2HDD,P02836,Belongs to the engrailed homeobox family,
3MBP,P0AEX9,Belongs to the bacterial solute-binding protein 1 family,
3W2Y,O26314,Belongs to the DNA repair enzymes AP/exoA family,
1B4K,Q59643,Belongs to the ALAD family,4.2.1.24
2G2W,P0AD64,Belongs to the class-A beta-lactamase family,3.5.2.6
2G2W,P35804,,
5XFE,Q95YI4,Belongs to the SMP-30/CGR1 family,
5MDO,L0RVU0,,
4BT9,P13674,Belongs to the P4HA family,1.14.11.2
7C27,D2PPM8,Belongs to the glycosyl hydrolase 15 family,3.2.1.205
3KX5,P14779,,
1N70,Q53239,Belongs to the multicopper oxidase family,1.7.2.1
2VTF,Q9ZB22,,
4IG2,Q83V25,Belongs to the metallo-dependent hydrolases superfamily. ACMSD family,4.1.1.45
1GG9,P21179,Belongs to the catalase family. HPII subfamily,1.11.1.6
1ITV,P14780,Belongs to the peptidase M10A family,3.4.24.35
2PM4,P59666,Belongs to the alpha-defensin family,
1W7F,P00808,Belongs to the class-A beta-lactamase family,3.5.2.6
2REI,Q15375,Belongs to the protein kinase superfamily. Tyr protein kinase family. Ephrin receptor subfamily,2.7.10.1
5IHF,A0A0H3ND95,,
6NFR,C3JYL7,Belongs to the CopC family,
6ET6,A0A0D5YGK2,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
1Z7X,P13489,,
1Z7X,P07998,Belongs to the pancreatic ribonuclease family,4.6.1.18
5LHX,O97143,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. CDC5/Polo subfamily,2.7.11.21
6GLK,P36639,Belongs to the Nudix hydrolase family,3.6.1.56
7LJW,P02883,Belongs to the thaumatin family,
1Q04,P05230,Belongs to the heparin-binding growth factors family,
4H31,Q8DCF5,Belongs to the aspartate/ornithine carbamoyltransferase superfamily. OTCase family,2.1.3.3
5PPG,O95696,,
6YVB,P49077,Belongs to the aspartate/ornithine carbamoyltransferase superfamily. ATCase family,2.1.3.2
5S1A,P0DTD1,Belongs to the coronaviruses polyprotein 1ab family,
3O5M,Q13451,,5.2.1.8
3JU0,Q6D6K1,Belongs to the 'phage' integrase family,
3T01,Q92UV8,,
6CPB,Q3AB29,,
1B25,Q8U1K3,Belongs to the AOR/FOR family,1.2.7.5
1FD4,O15263,Belongs to the beta-defensin family. LAP/TAP subfamily,
1HQQ,P22629,Belongs to the avidin/streptavidin family,
6T3D,P00811,Belongs to the class-C beta-lactamase family,3.5.2.6
3VUX,P0CG48,Belongs to the ubiquitin family,
3VUX,P21580,Belongs to the peptidase C64 family,2.3.2.-; 3.4.19.12
7KGR,Q861F7,Belongs to the MHC class I family,
7KGR,P61769,Belongs to the beta-2-microglobulin family,
7KGR,P0DTC9,Belongs to the betacoronavirus nucleocapsid protein family,
5OMB,P22336,Belongs to the replication factor A protein 1 family,
5OMB,Q6CUV9,,
1VLK,P03180,Belongs to the IL-10 family,
6KY2,A0A0A7CK57,Belongs to the ATP:guanido phosphotransferase family,2.7.3.3
7PB6,Q9KLD5,Belongs to the GbpA family,
1W50,P56817,Belongs to the peptidase A1 family,3.4.23.46
1PE9,P0C1A2,Belongs to the polysaccharide lyase 1 family. PLADES subfamily,4.2.2.2
4IUS,D2PUG5,,
6E5E,P50120,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
6TYH,P01308,Belongs to the insulin family,
2YK4,P72097,Belongs to the glycosyltransferase 52 family,2.4.3.6
1G6B,P00214,,
4W8C,A8MI53,Belongs to the MsrA Met sulfoxide reductase family,1.8.4.11
2GT1,Q1R4X0,Belongs to the glycosyltransferase 9 family,2.4.99.23
4Z8U,Q6TKR8,,
4Z8U,Q6TKR9,,
4Q11,B4EUU9,Belongs to the Crl family,
1GNL,Q01770,Belongs to the HCP family,1.7.99.1
8SQV,P06873,Belongs to the peptidase S8 family,3.4.21.64
1LI0,P62593,Belongs to the class-A beta-lactamase family,3.5.2.6
5Q2E,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
4A2C,P0A9S3,Belongs to the zinc-containing alcohol dehydrogenase family,1.1.1.251
1X1N,Q06801,Belongs to the disproportionating enzyme family,2.4.1.25
5JBN,P0A6I6,Belongs to the bacterial CoaD family,2.7.7.3
6EFA,Q939N5,Belongs to the serine-rich repeat protein (SRRP) family,
6O6J,Q5H8A6,Belongs to the castor/pollux (TC 1.A.1.23) family,
4HDT,G7CC99,,3.1.2.4
1UIF,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2ZGR,Q6WY08,,3.1.21.-
2B13,O33599,Belongs to the peptidase M23B family,3.4.24.75
5R34,P11838,Belongs to the peptidase A1 family,3.4.23.22
6ZPJ,E9AN40,,
6ONT,A0Q7V5,,
3FTT,Q5HCZ5,Belongs to the transferase hexapeptide repeat family,2.3.1.-
4MM2,P10363,Belongs to the eukaryotic-type primase small subunit family,2.7.7.-
2OCH,O45502,,
2Y3Q,P0ABD3,Belongs to the bacterioferritin family,1.16.3.1
3T7D,Q15JG1,Belongs to the glycosyltransferase 20 family,2.5.1.135
2RCZ,Q07157,Belongs to the MAGUK family,
1BCX,P09850,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
2HIA,Q53WB3,,
3MGM,Q96DE0,Belongs to the Nudix hydrolase family. NUDT16 subfamily,3.6.1.62
3W7V,Q09LX1,Belongs to the 'GDSL' lipolytic enzyme family,3.1.1.72
4REY,Q9BQQ3,Belongs to the GORASP family,
4REY,Q08379,Belongs to the GOLGA2 family,
2VKI,O15530,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. PDPK1 subfamily,2.7.11.1
3N02,P02883,Belongs to the thaumatin family,
5C55,Q8NMD2,Belongs to the DapA family,
2OQB,Q4AE70,Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N-methyltransferase family,2.1.1.319
6KRK,Q9Y9L0,Belongs to the peroxiredoxin family. Prx6 subfamily,1.11.1.24
5RD0,P11838,Belongs to the peptidase A1 family,3.4.23.22
5ITQ,Q96FI4,Belongs to the FPG family,3.2.2.-; 4.2.99.18
1BQR,P19567,,
6N3E,O43719,Belongs to the HTATSF1 family,
6N3E,O75533,Belongs to the SF3B1 family,
6EK9,D6ES11,,
3ECU,P00441,Belongs to the Cu-Zn superoxide dismutase family,1.15.1.1
1TFA,P02789,Belongs to the transferrin family,
1IYS,Q47066,Belongs to the class-A beta-lactamase family,3.5.2.6
5PGJ,Q9UIF8,Belongs to the WAL family,
4NIP,P00441,Belongs to the Cu-Zn superoxide dismutase family,1.15.1.1
3H9W,A1U4R9,,2.7.7.65
5IMC,Q8P9V9,Belongs to the peroxiredoxin family. BCP/PrxQ subfamily,1.11.1.24
6O44,P04189,Belongs to the peptidase S8 family,3.4.21.62
3SSW,P0A881,Belongs to the TrpR family,
5Z0E,Q83WS2,Belongs to the tyrosinase family,
5Z0E,Q83WS1,Belongs to the melC1 family,
1H0J,P60301,Belongs to the snake three-finger toxin family. Short-chain subfamily. Type IA cytotoxin sub-subfamily,
3LYP,Q4K6H7,Belongs to the GST superfamily. HSP26 family,
6ZN4,Q6MM14,,
6ZN4,Q6MM15,,
3ZFP,Q5L4B1,,
1EHB,P00171,Belongs to the cytochrome b5 family,
2XHV,O92972,Belongs to the hepacivirus polyprotein family,
2OA2,Q9K9C9,,
2R74,Q29147,Belongs to the calycin superfamily. Lipocalin family,
3ME7,O67938,Belongs to the SCO1/2 family,
6QWG,P25006,Belongs to the multicopper oxidase family,1.7.2.1
2VI3,P02883,Belongs to the thaumatin family,
5Y4N,P21852,Belongs to the [NiFe]/[NiFeSe] hydrogenase large subunit family,1.12.2.1
5Y4N,P21853,Belongs to the [NiFe]/[NiFeSe] hydrogenase small subunit family,1.12.2.1
3TM8,Q6MM30,,
6KP5,Q8ZC05,Belongs to the purine/pyrimidine phosphoribosyltransferase family. XGPT subfamily,2.4.2.-; 2.4.2.22
5RDW,P11838,Belongs to the peptidase A1 family,3.4.23.22
5KJP,P96404,Belongs to the enoyl-CoA hydratase/isomerase family,
4TNL,P00800,Belongs to the peptidase M4 family,3.4.24.27
3DNJ,Q9A5I0,Belongs to the ClpS family,
2BPP,P00593,Belongs to the phospholipase A2 family,3.1.1.4
5PE4,Q9UIF8,Belongs to the WAL family,
2GK4,A0A0H2UQ78,,
3U1L,Q12046,Belongs to the RRM CWC2 family,
6NI9,Q4K977,,
2ICI,Q1CQP3,Belongs to the staphylococcal/streptococcal toxin family,
1C3P,O67135,Belongs to the histone deacetylase family,
1GZW,P09382,,
1UGW,P18670,Belongs to the jacalin lectin family,
1UGW,P18673,Belongs to the jacalin lectin family,
2BIB,Q8DQ62,,
3LB2,Q9NAV8,Belongs to the globin family,
5X1I,G2IQS7,Belongs to the GcvT family,2.1.1.341
7NXG,Q8GGG1,Belongs to the long-chain O-acyltransferase family,
1UUQ,Q6QT42,Belongs to the glycosyl hydrolase 5 (cellulase A) family,
6LZM,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
5Q7B,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
6LEE,P11041,,
6OEW,Q04TM9,,
3FKW,P00811,Belongs to the class-C beta-lactamase family,3.5.2.6
3R62,P08603,,
6MF4,P32562,Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. CDC5/Polo subfamily,2.7.11.21
2HUL,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
5VJ0,E3G9I4,Belongs to the DyP-type peroxidase family,
1M2A,O66511,Belongs to the 2Fe2S Shethna-type ferredoxin family,
2VBL,P05725,Belongs to the LAGLIDADG endonuclease family,3.1.-.-
3FYQ,Q9VSL8,,
6TN5,P07900,Belongs to the heat shock protein 90 family,3.6.4.10
2Y8N,Q38HX4,Belongs to the glycyl radical enzyme (GRE) family. HPAD subfamily,4.1.1.83
2Y8N,Q38HX3,Belongs to the HPA decarboxylase small subunit family,4.1.1.83
7PGZ,O49003,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family,2.7.11.1
3KT5,P04585,,
6DOG,Q9KEI9,Belongs to the RNase H family,3.1.26.4
5J49,Q13WC0,Belongs to the UDPGP type 2 family,2.7.7.9
2VPF,P15692,Belongs to the PDGF/VEGF growth factor family,
5PSU,O95696,,
3E0H,Q8KFZ1,,
6KWH,P36217,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
1MXE,P62152,Belongs to the calmodulin family,
1MXE,Q63450,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. CaMK subfamily,2.7.11.17
5IYN,D0QJ68,,
1PXW,P62008,Belongs to the eukaryotic ribosomal protein eL8 family,
6EP6,Q9M9F1,Belongs to the GST superfamily. Tau family,2.5.1.18
4Q6U,I6YCP0,,
3A6S,P08337,Belongs to the Nudix hydrolase family,3.6.1.55
4UHT,P0AE88,,
3EHR,Q92882,,
2CJX,P42574,Belongs to the peptidase C14A family,3.4.22.56
3IPA,Q7CX36,Belongs to the leucine-binding protein family,
4NNM,O14907,,
1ETM,P01559,Belongs to the heat-stable enterotoxin family,
4UAF,P52293,Belongs to the importin alpha family,
4UAF,P31345,Belongs to the influenza viruses PB2 family,
2AK5,O55043,,
2AK5,Q13191,,2.3.2.27
6F4J,Q9V4Q8,Belongs to the U2 small nuclear ribonucleoprotein A family,
6F4J,P43332,Belongs to the RRM U1 A/B'' family,
2NZH,P37584,,
1H5G,P00433,Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily,1.11.1.7
3JQ0,A6L326,Belongs to the SusD family,
6ZS1,G0S1F8,Belongs to the Cu-Zn superoxide dismutase family,1.15.1.1
5I14,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
5XU7,P24224,Belongs to the P-Pant transferase superfamily. AcpS family,2.7.8.7
3ZKM,Q9Y5Z0,Belongs to the peptidase A1 family,3.4.23.45
6QNJ,P24300,Belongs to the xylose isomerase family,5.3.1.5
3QY1,Q8ZRS0,Belongs to the beta-class carbonic anhydrase family,4.2.1.1
1SOG,P00431,Belongs to the peroxidase family. Cytochrome c peroxidase subfamily,1.11.1.5
5OPP,P49902,Belongs to the 5'(3')-deoxyribonucleotidase family,3.1.3.5; 3.1.3.99
7ME2,Q56952,Belongs to the bacterial solute-binding protein 9 family,
5HVI,P62593,Belongs to the class-A beta-lactamase family,3.5.2.6
6XAC,A1YIY3,,
1V0A,P16218,,3.2.1.4
4DK2,Q57ZH3,,
5R1J,P33334,,
5R1J,P32357,Belongs to the AAR2 family,
6RO9,A0A3Q3W9R3,Belongs to the spectrin family,
1TP6,Q9I430,,
2FOB,P00772,Belongs to the peptidase S1 family. Elastase subfamily,3.4.21.36
3KMN,P09211,Belongs to the GST superfamily. Pi family,2.5.1.18
4PKZ,P14174,Belongs to the MIF family,5.3.2.1
2GB7,O87963,,
2IOT,P00772,Belongs to the peptidase S1 family. Elastase subfamily,3.4.21.36
3PH2,F2Z292,Belongs to the cytochrome c family. PetJ subfamily,
1GQZ,P44859,Belongs to the diaminopimelate epimerase family,5.1.1.7
2J89,A9PFX3,Belongs to the MsrA Met sulfoxide reductase family,1.8.4.11
2BUM,P20371,Belongs to the intradiol ring-cleavage dioxygenase family,1.13.11.3
2BUM,P20372,Belongs to the intradiol ring-cleavage dioxygenase family,1.13.11.3
1G2B,P07751,Belongs to the spectrin family,
1KDA,P00644,Belongs to the thermonuclease family,3.1.31.1
1J2T,P83772,Belongs to the creatininase superfamily,3.5.2.10
3WP3,Q9HFH0,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
8WGK,D0MDR1,,
6PKE,Q99972,,
2IHF,Q9KH06,,
6EIO,A0A023J6X7,Belongs to the ice-binding protein family,
1LZ8,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
1F6K,P44539,Belongs to the DapA family. NanA subfamily,4.1.3.3
4ZJK,P02794,Belongs to the ferritin family,1.16.3.1
1FNU,P0DJY8,Belongs to the staphylococcal/streptococcal toxin family,
5B0F,I6WU39,,4.4.1.26
1T1E,Q8RR56,,3.4.21.123
4ZXE,Q93IE7,Belongs to the glycosyl hydrolase 8 (cellulase D) family,3.2.1.-
3JXC,P69202,,
6K6A,P02976,Belongs to the immunoglobulin-binding protein SpA family,
7P4M,Q9X1X7,Belongs to the quinolinate synthase family. Type 2 subfamily,2.5.1.72
5IBW,Q54HC2,,
5IBW,P42522,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family,
3MXU,Q6G2F0,Belongs to the GcvH family,
2HEA,P61626,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
5C15,Q716H3,,
1KW3,P17297,Belongs to the extradiol ring-cleavage dioxygenase family,1.13.11.39
1MOH,P41260,Belongs to the globin family,
1YD3,Q9WYA3,Belongs to the UvrC family,
6DTD,E6K398,,
3BTK,P00760,Belongs to the peptidase S1 family,3.4.21.4
3BTK,P00974,,
1E3F,P02766,Belongs to the transthyretin family,
2J1R,A0A0H2US34,Belongs to the fucolectin family,
4KZF,Q9L543,Belongs to the carbon-nitrogen hydrolase superfamily. Aliphatic amidase family,3.5.1.4
5PXR,P23497,,
5PCJ,Q9UIF8,Belongs to the WAL family,
6UAV,A0A1Y6JJH6,,
2GIJ,P17743,,3.1.21.4
3POE,Q8CHN8,Belongs to the peptidase S1 family,3.4.21.-
8QNZ,Q6XEC0,Belongs to the class-D beta-lactamase family,3.5.2.6
4NSJ,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
1LSQ,P61823,Belongs to the pancreatic ribonuclease family,4.6.1.18
4ZH5,F2Z7L1,Belongs to the glycosyl hydrolase 9 (cellulase E) family,3.2.1.4
4F7H,Q96AC1,Belongs to the kindlin family,
5P08,P11838,Belongs to the peptidase A1 family,3.4.23.22
5HML,P06229,,3.1.11.-
4DB5,G1TIM1,,
1ZNK,P11589,Belongs to the calycin superfamily. Lipocalin family,
6Y63,A0A0E3ZCF3,Belongs to the polyomaviruses coat protein VP1 family,
5MH0,K1QRB6,,
1TG9,P00918,Belongs to the alpha-carbonic anhydrase family,4.2.1.1
1G0S,Q93K97,Belongs to the Nudix hydrolase family. NudF subfamily,3.6.1.13
7N5Q,P01899,Belongs to the MHC class I family,
7N5Q,P61769,Belongs to the beta-2-microglobulin family,
7N5Q,O89752,Belongs to the influenza viruses PA family,3.1.-.-
2B4F,Q8RJN8,Belongs to the glycosyl hydrolase 8 (cellulase D) family,3.2.1.4
3KYY,P24297,Belongs to the rubredoxin family,
2BLP,P61823,Belongs to the pancreatic ribonuclease family,4.6.1.18
7GST,P18031,Belongs to the protein-tyrosine phosphatase family. Non-receptor class 1 subfamily,3.1.3.48
1L91,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
6PBH,P04439,Belongs to the MHC class I family,
6PBH,P61769,Belongs to the beta-2-microglobulin family,
6PBH,Q9Q0U8,Belongs to the influenza viruses nucleoprotein family,
4E4C,P00608,Belongs to the phospholipase A2 family. Group I subfamily. D49 sub-subfamily,3.1.1.4
8PYO,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
8PDG,Q92835,"Belongs to the inositol 1,4,5-trisphosphate 5-phosphatase family",3.1.3.86
7LN8,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2W7A,Q9UN81,Belongs to the transposase 22 family,
5F8Z,P03952,Belongs to the peptidase S1 family. Plasma kallikrein subfamily,3.4.21.34
3AA6,P13127,Belongs to the F-actin-capping protein alpha subunit family,
3AA6,P14315,Belongs to the F-actin-capping protein beta subunit family,
3AA6,Q9Y5K6,,
1EW4,P27838,Belongs to the frataxin family,
2WOK,Q8KRB4,,
2WOK,P01042,,
3D78,Q9U9J6,Belongs to the PBP/GOBP family,
3Q1C,B7UMC8,Belongs to the protease EspG/VirA family,
2EXH,Q09LX0,Belongs to the glycosyl hydrolase 43 family,
6ZXU,K2MB66,,
5UEA,P32447,Belongs to the ASF1 family,
6QQ1,I6NAW4,Belongs to the multicopper oxidase family,1.7.2.1
2H9B,O68014,Belongs to the LysR transcriptional regulatory family,
6ARC,Q8XLZ0,Belongs to the EutL/PduB family,
2FY7,P15291,Belongs to the glycosyltransferase 7 family,2.4.1.-
1QUH,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
3QWG,P9WJB7,,
8RAT,P61823,Belongs to the pancreatic ribonuclease family,4.6.1.18
3TWY,P05696,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. PKC subfamily,2.7.11.13
5FGB,P27958,Belongs to the hepacivirus polyprotein family,
5P7K,P11838,Belongs to the peptidase A1 family,3.4.23.22
6KEN,Q7JYX0,Belongs to the GST superfamily. Epsilon family,2.5.1.18
2DUC,P0C6X7,Belongs to the coronaviruses polyprotein 1ab family,
5TWD,Q9L5C7,Belongs to the class-A beta-lactamase family,3.5.2.6
4A88,P15494,Belongs to the BetVI family,
1BWI,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
4RDB,Q7MXK0,Belongs to the bacteroidetes fimbrillin superfamily. FimA/Mfa1 family,
4UDT,A0A0B4J277,,
4UDT,P01848,,
4UDT,A0A5A3,,
4UDT,A0A5B9,,
1IJB,P04275,,
2X8W,B3VH91,Belongs to the methylglyoxal synthase family,4.2.3.3
6JIW,A0A0H3JU78,Belongs to the histidine racemase family,5.1.1.24
1H8U,P13727,,
3WNI,A4IL26,Belongs to the multicopper oxidase family,1.7.2.1
4EX1,P01308,Belongs to the insulin family,
3PTB,P00760,Belongs to the peptidase S1 family,3.4.21.4
2V94,Q9UY20,Belongs to the eukaryotic ribosomal protein eS24 family,
2NVH,P01584,Belongs to the IL-1 family,
1JK1,P08046,Belongs to the EGR C2H2-type zinc-finger protein family,
1WZD,Q54AI1,Belongs to the heme oxygenase family,1.14.14.18
4FFU,Q92VL2,,
6QJJ,P78352,Belongs to the MAGUK family,
5AJH,X0BTD8,Belongs to the cutinase family,3.1.1.74
1SKG,P59071,Belongs to the phospholipase A2 family. Group II subfamily. D49 sub-subfamily,3.1.1.4
4JND,P49594,Belongs to the PP2C family,3.1.3.16
4MNV,P00749,Belongs to the peptidase S1 family,3.4.21.73
5P55,P11838,Belongs to the peptidase A1 family,3.4.23.22
6XRK,G5DDB8,Belongs to the glycosyl hydrolase 5 (cellulase A) family,
